stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,400,0.1,116,721,0.08155428347514955,0.4199956387453968
10-6,600,0.1,116,721,0.08552777204482077,0.44045867022276997
10-6,800,0.1,116,721,0.0871050404774905,0.448581430115007
10-6,1000,0.1,116,721,0.08380786035904332,0.43160131318064865
10-6,1200,0.1,116,721,0.0860551490251904,0.4431746039823677
10-6,400,0.3,116,721,0.09125052368477746,0.4699302151617584
10-6,600,0.3,116,721,0.09167661888224943,0.4721245588185587
10-6,800,0.3,116,721,0.09158704772781981,0.4716632771713563
10-6,1000,0.3,116,721,0.09195179639915431,0.47354169292919135
10-6,1200,0.3,116,721,0.09194454103767485,0.4735043286112298
10-6,400,0.5,116,721,0.10951890548570908,0.5640103830742752
10-6,600,0.5,116,721,0.1111253286174138,0.5722832864773354
10-6,800,0.5,116,721,0.10987773182263079,0.5658582994577234
10-6,1000,0.5,116,721,0.11175500217926698,0.57552603644144
10-6,1200,0.5,116,721,0.11050762305053641,0.5691021703781877
10-6,400,0.7,116,721,0.1239265919721979,0.6382083924354898
10-6,600,0.7,116,721,0.12492134764331272,0.6433312753262798
10-6,800,0.7,116,721,0.1241964147135951,0.6395979500380121
10-6,1000,0.7,116,721,0.12544233322403797,0.6460142940768585
10-6,1200,0.7,116,721,0.12481450305692156,0.6427810373940009
10-6,400,0.9,116,721,0.13173455730975947,0.6784185598174438
10-6,600,0.9,116,721,0.1322624820430146,0.6811373144444837
10-6,800,0.9,116,721,0.13217181209628567,0.6806703741371357
10-6,1000,0.9,116,721,0.1328688624222601,0.6842601070661795
10-6,1200,0.9,116,721,0.1324281564541795,0.6819905195390041
10-6,400,0.1,116,722,0.08418879272982163,0.43356307322029863
10-6,600,0.1,116,722,0.08314722415603192,0.4281991090015554
10-6,800,0.1,116,722,0.08510337809278808,0.4382730877938842
10-6,1000,0.1,116,722,0.08302635441008428,0.42757664303176074
10-6,1200,0.1,116,722,0.08190915861157938,0.42182320687853014
10-6,400,0.3,116,722,0.09279095717556321,0.477863279132635
10-6,600,0.3,116,722,0.09186829271732906,0.4731116581021859
10-6,800,0.3,116,722,0.09224904370961175,0.47507248406242425
10-6,1000,0.3,116,722,0.09257194607302639,0.47673539591200303
10-6,1200,0.3,116,722,0.09174495252553998,0.47247646960654766
10-6,400,0.5,116,722,0.11234883577228412,0.5785842144865417
10-6,600,0.5,116,722,0.11085570767135375,0.5708947680987253
10-6,800,0.5,116,722,0.1120996502494704,0.5773009363022371
10-6,1000,0.5,116,722,0.11210555560520825,0.5773313482383055
10-6,1200,0.5,116,722,0.11040493971134839,0.56857336241381
10-6,400,0.7,116,722,0.12589847374562205,0.6483633678662044
10-6,600,0.7,116,722,0.1249658344072586,0.6435603772942329
10-6,800,0.7,116,722,0.12559069123235336,0.6467783215909302
10-6,1000,0.7,116,722,0.12594611770643088,0.6486087290526388
10-6,1200,0.7,116,722,0.12442815521312921,0.6407913882607225
10-6,400,0.9,116,722,0.13314228439723141,0.6856682003278914
10-6,600,0.9,116,722,0.132444309210203,0.6820737044655893
10-6,800,0.9,116,722,0.13278279632579873,0.6838168760840984
10-6,1000,0.9,116,722,0.1332467675585093,0.6862062771791512
10-6,1200,0.9,116,722,0.13187493975034,0.6791415140301214
10-6,400,0.1,116,723,0.09041001887869601,0.46560170735252343
10-6,600,0.1,116,723,0.08247109132921046,0.42471709890500253
10-6,800,0.1,116,723,0.08712900424347078,0.44870484088843005
10-6,1000,0.1,116,723,0.08241320748331113,0.42441900343048417
10-6,1200,0.1,116,723,0.08326546564456327,0.42880803973315906
10-6,400,0.3,116,723,0.0913378265491022,0.470379815363047
10-6,600,0.3,116,723,0.09190255592042151,0.4732881098500903
10-6,800,0.3,116,723,0.09287104480088748,0.47827572164233983
10-6,1000,0.3,116,723,0.09218365412447012,0.47473573485185433
10-6,1200,0.3,116,723,0.092264352786233,0.47515132413237726
10-6,400,0.5,116,723,0.11175193182914075,0.5755102244741529
10-6,600,0.5,116,723,0.11093376875679682,0.5712967741497234
10-6,800,0.5,116,723,0.11270325258459617,0.5804094223006042
10-6,1000,0.5,116,723,0.11196555227987655,0.5766103464276883
10-6,1200,0.5,116,723,0.11179127600187222,0.5757128426598953
10-6,400,0.7,116,723,0.12574549539445498,0.6475755460918619
10-6,600,0.7,116,723,0.12485098544517212,0.6429689177027148
10-6,800,0.7,116,723,0.12634700210770203,0.6506732398667917
10-6,1000,0.7,116,723,0.1255369954477129,0.6465017941737666
10-6,1200,0.7,116,723,0.12523848130903442,0.6449644790137726
10-6,400,0.9,116,723,0.13306222076031834,0.6852558813558802
10-6,600,0.9,116,723,0.13223958536115574,0.6810193990375585
10-6,800,0.9,116,723,0.13367514468847347,0.6884123725386676
10-6,1000,0.9,116,723,0.13269732905696266,0.6833767289987822
10-6,1200,0.9,116,723,0.13236343300928025,0.6816572008778139
10-6,400,0.1,116,724,0.09123462589575726,0.46984834328734965
10-6,600,0.1,116,724,0.08262107900059318,0.42548951900560356
10-6,800,0.1,116,724,0.08232205640676962,0.4239495853572318
10-6,1000,0.1,116,724,0.08250009445560631,0.42486646183331456
10-6,1200,0.1,116,724,0.08463414926921939,0.4358566106810354
10-6,400,0.3,116,724,0.09176597886226805,0.47258475294064467
10-6,600,0.3,116,724,0.09208083444182076,0.4742062247335651
10-6,800,0.3,116,724,0.09176149474034317,0.47256166020324575
10-6,1000,0.3,116,724,0.09237409369871774,0.4757164778272114
10-6,1200,0.3,116,724,0.09182418037029227,0.47288448434035746
10-6,400,0.5,116,724,0.11099191488551124,0.5715962203520485
10-6,600,0.5,116,724,0.11061759898524205,0.5696685344117506
10-6,800,0.5,116,724,0.11052115713249817,0.5691718694198094
10-6,1000,0.5,116,724,0.11233649961772983,0.5785206846400284
10-6,1200,0.5,116,724,0.1112531903587973,0.5729417604587765
10-6,400,0.7,116,724,0.12502969799584115,0.643889267789451
10-6,600,0.7,116,724,0.1245148715021511,0.6412379676633663
10-6,800,0.7,116,724,0.12448154219849053,0.6410663253953777
10-6,1000,0.7,116,724,0.1257616803528236,0.6476588968570017
10-6,1200,0.7,116,724,0.12518690888412115,0.6446988866669316
10-6,400,0.9,116,724,0.13253451927240364,0.682538276417923
10-6,600,0.9,116,724,0.13213541718552937,0.6804829443279482
10-6,800,0.9,116,724,0.13206113334004313,0.6801003906495388
10-6,1000,0.9,116,724,0.1329155291038129,0.684500435371349
10-6,1200,0.9,116,724,0.1325411494578163,0.682572421147528
10-6,400,0.1,116,725,0.08274087411060539,0.4261064507178843
10-6,600,0.1,116,725,0.08780369628526537,0.4521794310997008
10-6,800,0.1,116,725,0.08769889605542851,0.4516397213800463
10-6,1000,0.1,116,725,0.083365480447667,0.4293231050286116
10-6,1200,0.1,116,725,0.08435795399967967,0.43443423525566444
10-6,400,0.3,116,725,0.09192499574001757,0.47340367246633774
10-6,600,0.3,116,725,0.09324236526497152,0.4801879814139524
10-6,800,0.3,116,725,0.09273453138675362,0.47757269249263323
10-6,1000,0.3,116,725,0.09211013988231581,0.4743571445464182
10-6,1200,0.3,116,725,0.0922913850660184,0.47529053741623467
10-6,400,0.5,116,725,0.11163459261708941,0.574905940367722
10-6,600,0.5,116,725,0.11286882700160536,0.5812621124361611
10-6,800,0.5,116,725,0.11340485837671914,0.5840226153819945
10-6,1000,0.5,116,725,0.11030303921742031,0.568048586016886
10-6,1200,0.5,116,725,0.11078694090339473,0.5705406267660729
10-6,400,0.7,116,725,0.12547810360179878,0.6461985076094364
10-6,600,0.7,116,725,0.12613461492540567,0.6495794691108133
10-6,800,0.7,116,725,0.12664706125980463,0.6522185116769124
10-6,1000,0.7,116,725,0.12470135752246464,0.6421983502684386
10-6,1200,0.7,116,725,0.1246535797908087,0.6419523001767747
10-6,400,0.9,116,725,0.13270045060979907,0.6833928046544258
10-6,600,0.9,116,725,0.13306415222782594,0.6852658282022628
10-6,800,0.9,116,725,0.1334659696738352,0.687335144094752
10-6,1000,0.9,116,725,0.13238446933613499,0.6817655356599704
10-6,1200,0.9,116,725,0.1322663910910351,0.6811574456141819
10-6,400,0.1,126,721,0.08155433627313825,0.4199959106492631
10-6,600,0.1,126,721,0.08552805765910755,0.4404601411051038
10-6,800,0.1,126,721,0.08710503353417826,0.44858139435770844
10-6,1000,0.1,126,721,0.08380665112888704,0.4315950857776204
10-6,1200,0.1,126,721,0.08605522229459828,0.4431749813118034
10-6,400,0.3,126,721,0.09125036867224086,0.46992941686415163
10-6,600,0.3,126,721,0.09167677706181686,0.47212537342602784
10-6,800,0.3,126,721,0.09158722123691163,0.47166417072419914
10-6,1000,0.3,126,721,0.09195155292913167,0.4735404390852077
10-6,1200,0.3,126,721,0.09194446370696326,0.4735039303665242
10-6,400,0.5,126,721,0.1095190526705314,0.5640111410600097
10-6,600,0.5,126,721,0.11112573156183483,0.572285361597026
10-6,800,0.5,126,721,0.10987784577287497,0.5658588862890159
10-6,1000,0.5,126,721,0.11175511606100198,0.5755266229199179
10-6,1200,0.5,126,721,0.11050788611383783,0.5691035251254137
10-6,400,0.7,126,721,0.12392682632938037,0.6382095993493434
10-6,600,0.7,126,721,0.12492126678481698,0.6433308589138717
10-6,800,0.7,126,721,0.1241966203537706,0.6395990090624211
10-6,1000,0.7,126,721,0.1254426977418573,0.6460161713037537
10-6,1200,0.7,126,721,0.12481461706616152,0.6427816245291154
10-6,400,0.9,126,721,0.131734458888079,0.6784180529565556
10-6,600,0.9,126,721,0.13226237511590458,0.6811367637815636
10-6,800,0.9,126,721,0.13217182299686647,0.6806704302739344
10-6,1000,0.9,126,721,0.13286900574807578,0.684260845178452
10-6,1200,0.9,126,721,0.13242816626971748,0.681990570087951
10-6,400,0.1,126,722,0.08418943847609289,0.433566398742958
10-6,600,0.1,126,722,0.08314771726521852,0.42820164845992564
10-6,800,0.1,126,722,0.08510420714005291,0.4382773572966094
10-6,1000,0.1,126,722,0.08302659233038828,0.4275778682953004
10-6,1200,0.1,126,722,0.08190943118529685,0.4218246106033585
10-6,400,0.3,126,722,0.09279108230370484,0.47786392352887674
10-6,600,0.3,126,722,0.09186816729329601,0.47311101218213575
10-6,800,0.3,126,722,0.0922496556388818,0.4750756354312266
10-6,1000,0.3,126,722,0.09257214741420317,0.47673643279703887
10-6,1200,0.3,126,722,0.09174502755561857,0.47247685600324496
10-6,400,0.5,126,722,0.11234907691569909,0.5785854563487504
10-6,600,0.5,126,722,0.11085570787000483,0.5708947691217566
10-6,800,0.5,126,722,0.11210009405741396,0.5773032218645987
10-6,1000,0.5,126,722,0.11210544780760401,0.5773307930924354
10-6,1200,0.5,126,722,0.11040529799667644,0.5685752075440568
10-6,400,0.7,126,722,0.12589864413320126,0.6483642453435988
10-6,600,0.7,126,722,0.1249657331023426,0.6435598555849971
10-6,800,0.7,126,722,0.12559111538078765,0.6467805059089695
10-6,1000,0.7,126,722,0.1259459537427387,0.6486078846575599
10-6,1200,0.7,126,722,0.12442837488705231,0.6407925195573966
10-6,400,0.9,126,722,0.13314239147270762,0.6856687517548811
10-6,600,0.9,126,722,0.13244432563496397,0.6820737890513117
10-6,800,0.9,126,722,0.13278296417105925,0.6838177404688296
10-6,1000,0.9,126,722,0.13324676884176126,0.6862062837877583
10-6,1200,0.9,126,722,0.1318750348815867,0.6791420039456355
10-6,400,0.1,126,723,0.09040992659917439,0.4656012321230814
10-6,600,0.1,126,723,0.08247125707669957,0.42471795248644045
10-6,800,0.1,126,723,0.08712768696202397,0.44869805703307525
10-6,1000,0.1,126,723,0.08241318021863861,0.42441886302040316
10-6,1200,0.1,126,723,0.0832652884641039,0.42880712727317494
10-6,400,0.3,126,723,0.09133785483049632,0.47037996100913304
10-6,600,0.3,126,723,0.09190265686848495,0.47328862972157437
10-6,800,0.3,126,723,0.09287001908767868,0.47827043933151636
10-6,1000,0.3,126,723,0.09218358926112129,0.47473540081270316
10-6,1200,0.3,126,723,0.09226432593156403,0.47515118583376964
10-6,400,0.5,126,723,0.11175199056130891,0.5755105269383942
10-6,600,0.5,126,723,0.11093394161477392,0.5712976643493966
10-6,800,0.5,126,723,0.1127024077311272,0.5804050713976568
10-6,1000,0.5,126,723,0.11196543573400466,0.5766097462291969
10-6,1200,0.5,126,723,0.1117910375479863,0.5757116146484671
10-6,400,0.7,126,723,0.12574574582486642,0.6475768357810864
10-6,600,0.7,126,723,0.124851012570801,0.6429690573967363
10-6,800,0.7,126,723,0.12634660517079765,0.6506711956851547
10-6,1000,0.7,126,723,0.12553682309415945,0.6465009065718199
10-6,1200,0.7,126,723,0.1252382698500266,0.6449633900230136
10-6,400,0.9,126,723,0.13306238582532556,0.6852567314226111
10-6,600,0.9,126,723,0.1322395580136602,0.6810192582009479
10-6,800,0.9,126,723,0.13367501836832477,0.6884117220037198
10-6,1000,0.9,126,723,0.13269727118493496,0.6833764309641701
10-6,1200,0.9,126,723,0.132363358053101,0.6816568148616903
10-6,400,0.1,126,724,0.09123565207417184,0.46985362799393193
10-6,600,0.1,126,724,0.08262084931866492,0.4254883361687977
10-6,800,0.1,126,724,0.08232190807409731,0.42394882146019536
10-6,1000,0.1,126,724,0.0824997127090524,0.4248644958803209
10-6,1200,0.1,126,724,0.08463468483748762,0.4358593687990315
10-6,400,0.3,126,724,0.09176644494799485,0.472587153231153
10-6,600,0.3,126,724,0.09208041365360625,0.47420405772029006
10-6,800,0.3,126,724,0.09176121678101239,0.47256022874309794
10-6,1000,0.3,126,724,0.09237444261196506,0.4757182746922678
10-6,1200,0.3,126,724,0.09182384030852145,0.4728827330594368
10-6,400,0.5,126,724,0.11099165710055717,0.5715948927877339
10-6,600,0.5,126,724,0.11061737123556256,0.5696673615258145
10-6,800,0.5,126,724,0.1105210276980142,0.5691712028463757
10-6,1000,0.5,126,724,0.11233664498367824,0.5785214332587612
10-6,1200,0.5,126,724,0.11125322973775667,0.5729419632561097
10-6,400,0.7,126,724,0.12502957917863564,0.6438886558938399
10-6,600,0.7,126,724,0.12451466963987624,0.6412369280947323
10-6,800,0.7,126,724,0.12448136911471448,0.6410654340328645
10-6,1000,0.7,126,724,0.1257617396126197,0.6476592020384693
10-6,1200,0.7,126,724,0.1251870571885617,0.6446996504185776
10-6,400,0.9,126,724,0.13253448711836122,0.6825381108281218
10-6,600,0.9,126,724,0.1321353188075787,0.6804824376922637
10-6,800,0.9,126,724,0.13206098370158914,0.6800996200278695
10-6,1000,0.9,126,724,0.13291560949530623,0.6845008493787457
10-6,1200,0.9,126,724,0.132540959887332,0.6825714448802708
10-6,400,0.1,126,725,0.08274101595810802,0.4261071812170063
10-6,600,0.1,126,725,0.08780483339238856,0.4521852870769981
10-6,800,0.1,126,725,0.08769968497410631,0.45164378422493784
10-6,1000,0.1,126,725,0.08336439550932886,0.4293175177148506
10-6,1200,0.1,126,725,0.08435636622475481,0.43442605838848675
10-6,400,0.3,126,725,0.09192512810927166,0.47340435415351656
10-6,600,0.3,126,725,0.09324244926462556,0.480188414002982
10-6,800,0.3,126,725,0.09273492903040384,0.477574740313934
10-6,1000,0.3,126,725,0.09211049167406087,0.474358956235423
10-6,1200,0.3,126,725,0.09229127377205053,0.47528996426447445
10-6,400,0.5,126,725,0.11163443323003297,0.5749051195418166
10-6,600,0.5,126,725,0.11286920973503457,0.5812640834714546
10-6,800,0.5,126,725,0.11340529804500296,0.5840248796255613
10-6,1000,0.5,126,725,0.11030342000206542,0.5680505470161546
10-6,1200,0.5,126,725,0.11078670896867218,0.5705394323276228
10-6,400,0.7,126,725,0.12547809232398777,0.6461984495299433
10-6,600,0.7,126,725,0.12613477270878648,0.6495802816779647
10-6,800,0.7,126,725,0.12664720130520002,0.6522192328953791
10-6,1000,0.7,126,725,0.12470179257390833,0.6422005907357837
10-6,1200,0.7,126,725,0.12465339977329416,0.6419513731062669
10-6,400,0.9,126,725,0.13270058041601263,0.6833934731422262
10-6,600,0.9,126,725,0.13306413069444686,0.6852657173077161
10-6,800,0.9,126,725,0.1334658632252024,0.6873345958959375
10-6,1000,0.9,126,725,0.13238471968157173,0.6817668249115846
10-6,1200,0.9,126,725,0.13226617340617033,0.6811563245609407
10-6,400,0.1,136,721,0.08155384806127255,0.4199933964115598
10-6,600,0.1,136,721,0.08552782211762221,0.4404589280922199
10-6,800,0.1,136,721,0.08710499056140472,0.4485811730526255
10-6,1000,0.1,136,721,0.0838065461260693,0.43159454502459527
10-6,1200,0.1,136,721,0.08605537464550694,0.44317576590231744
10-6,400,0.3,136,721,0.09125060465210705,0.46993063213464886
10-6,600,0.3,136,721,0.09167651418204002,0.47212401962393336
10-6,800,0.3,136,721,0.0915872476160581,0.4716643065739179
10-6,1000,0.3,136,721,0.09195164449796299,0.4735409106546724
10-6,1200,0.3,136,721,0.09194460803864006,0.47350467365887144
10-6,400,0.5,136,721,0.10951885139284852,0.5640101045019604
10-6,600,0.5,136,721,0.11112569691667103,0.5722851831782222
10-6,800,0.5,136,721,0.10987801240161917,0.5658597444088211
10-6,1000,0.5,136,721,0.11175479601777721,0.5755249747323196
10-6,1200,0.5,136,721,0.11050752878362949,0.5691016849139288
10-6,400,0.7,136,721,0.12392688121298949,0.6382098819939267
10-6,600,0.7,136,721,0.12492144110263796,0.6433317566315813
10-6,800,0.7,136,721,0.12419681614171575,0.6396000173489216
10-6,1000,0.7,136,721,0.12544210576379108,0.6460131226814687
10-6,1200,0.7,136,721,0.1248144891394485,0.642780965720537
10-6,400,0.9,136,721,0.13173441562814678,0.6784178301726368
10-6,600,0.9,136,721,0.13226248449378206,0.6811373270656679
10-6,800,0.9,136,721,0.13217200625989908,0.6806713740585053
10-6,1000,0.9,136,721,0.1328692101134317,0.6842618976376795
10-6,1200,0.9,136,721,0.13242832950650968,0.6819914107395745
10-6,400,0.1,136,722,0.08418917932154707,0.4335650641253957
10-6,600,0.1,136,722,0.08314710998392354,0.42819852102768646
10-6,800,0.1,136,722,0.08510369411638145,0.43827471528082057
10-6,1000,0.1,136,722,0.08302661858895054,0.42757800352402364
10-6,1200,0.1,136,722,0.08190947247070476,0.4218248232186931
10-6,400,0.3,136,722,0.09279119267275436,0.4778644919174086
10-6,600,0.3,136,722,0.09186784914500883,0.4731093737532587
10-6,800,0.3,136,722,0.09224911454835763,0.4750728488742166
10-6,1000,0.3,136,722,0.0925721336977378,0.47673636215874265
10-6,1200,0.3,136,722,0.09174508701804877,0.472477162228256
10-6,400,0.5,136,722,0.11234896935753154,0.5785849024359532
10-6,600,0.5,136,722,0.11085566837867525,0.5708945657457292
10-6,800,0.5,136,722,0.1120997055596473,0.5773012211435978
10-6,1000,0.5,136,722,0.11210548794837072,0.5773309998129931
10-6,1200,0.5,136,722,0.11040529615219154,0.5685751980451613
10-6,400,0.7,136,722,0.1258985556345006,0.6483637895849711
10-6,600,0.7,136,722,0.12496578797556065,0.6435601381760675
10-6,800,0.7,136,722,0.12559072156160847,0.6467784777832762
10-6,1000,0.7,136,722,0.12594607489800227,0.6486085085939142
10-6,1200,0.7,136,722,0.1244283663022024,0.6407924753463585
10-6,400,0.9,136,722,0.13314241509901037,0.6856688734277557
10-6,600,0.9,136,722,0.13244434581562547,0.6820738929795108
10-6,800,0.9,136,722,0.1327827160519258,0.6838164626824338
10-6,1000,0.9,136,722,0.1332467327193949,0.686206097761523
10-6,1200,0.9,136,722,0.13187493209376633,0.6791414745996045
10-6,400,0.1,136,723,0.09040979442184244,0.46560055142428064
10-6,600,0.1,136,723,0.08247116676896872,0.4247174874115053
10-6,800,0.1,136,723,0.08712851120420516,0.44870230179014525
10-6,1000,0.1,136,723,0.08241338768274785,0.4244199314378714
10-6,1200,0.1,136,723,0.08326531408518445,0.4288072592189371
10-6,400,0.3,136,723,0.09133764438189956,0.47037887722188054
10-6,600,0.3,136,723,0.09190294129185642,0.4732900944708246
10-6,800,0.3,136,723,0.0928701914101059,0.47827132677316636
10-6,1000,0.3,136,723,0.09218385227945211,0.4747367553283356
10-6,1200,0.3,136,723,0.09226441462086847,0.4751516425739859
10-6,400,0.5,136,723,0.1117518722835338,0.5755099178207906
